Galaxy,Aperture,ApName,Temp,Temp Error,Beta,Beta Error,Scale,Scale Error,Chi Square,Detection
NGC3945,0,Galaxy,8.829029553094468,1.254971717639089,4.067673598371558,0.8902382624469068,4.4089588755071465e-59,1.0517169354705404e-57,7.273182261672498,5
NGC3945,1,Center,16.472813430871057,0.06500055393433965,2.7520841623255574,0.016179562161201245,7.552795361905026e-46,3.283078123201913e-46,0.008624835745297075,5
NGC3945,2,Inner Ring,10.166293919510526,0.7604035500894741,3.753450796219321,0.41341505078106927,4.23829867271137e-56,4.678951480289874e-55,2.2510592348934866,5
NGC3945,3,Outer Ring,0.040856135495207724,,3.3291998421537654,,-2.872994695426019e-31,,627.780410644849,4
NGC3941,0,Galaxy,24.923437510378243,5.132574496577177,1.75,0,1.8407711323501634e-33,8.88035707265614e-34,0.6654206871144006,3
NGC3941,1,Center,50.66442569894829,10.358894339906293,-0.5052536947181612,0.26438030735411727,2.578525068215335e-07,1.8125736531803564e-06,0.9317644544494796,5
NGC3941,2,Ring,172085.21857775204,619000947.212834,1.75,0,3.476191746140783e-38,1.250955555200604e-34,4.16308288871651,3
NGC3626,0,Galaxy,29.72348845600608,2.6891722188544542,1.0570626640440037,0.20253681130829215,8.75423245222634e-25,4.741953686370073e-24,2.004297800634483,5
NGC3626,1,Center,23.53286263514645,0.3795100638357427,2.0609397262612874,0.04713893128393365,9.347710860279066e-37,1.1812187069635432e-36,0.13609985899634036,5
NGC3626,2,Ring,13.292194028160182,0.9639710762545177,1.75,0,1.255557775182083e-32,3.306632979247358e-33,0.6547368348211786,3
NGC3626,3,Friend Galaxy
NGC2685,0,Galaxy,8.838342606728924,2.4389665809415506,4.026718435645536,1.7170767847273105,1.707104502270884e-58,7.827995810358077e-57,7.950063834208075,4
NGC2685,1,Center,17.897948673318012,1.0884186696454154,2.1742910790123724,0.23702614113398396,1.709888846868291e-38,1.0888967671362454e-37,2.8057439150923305,5
NGC2685,2,Bar,16.56372562890421,1.7599062507038643,2.025480510458767,0.4400020042707204,6.509047988746022e-36,7.689503663032912e-35,10.523098702300672,5
NGC2685,3,Inner Ring,22.39119145791073,,0.6821959637516042,,4.221234213016499e-31,,837.2794586840605,5
NGC2685,4,Outer Ring?
NGC3073,0,Galaxy,13.080353442087576,66.62299933684956,3.073970686747684,16.140440437732842,8.673939023056697e-49,3.756987980842481e-46,36.00002922187849,4
NGC3073,1,Center,34.86036028406705,1.6011526489131283,1.8755596311107627,0.2307155335409698,7.793170255886406e-36,4.905849957545233e-35,0.8620937577267878,4
NGC3073,2,Outer Rim,16.63375492965922,29.250296331890496,1.75,0,1.4110305923002333e-33,8.29419607603996e-33,43.70118215819482,3
NGC4111,0,Galaxy,25.41619297366103,12.320437592702094,0.3771614448352942,1.03568228521684,1.33356639450405e-16,3.662480287794143e-15,18.538388357877437,5
NGC4111,1,Center,27.40638182908257,1.0467704135860543,1.7526550061807602,0.09565173406032665,1.0376130466731626e-33,2.6595533505403142e-33,0.5242321982996888,5
NGC4111,2,Outer Rim,14.768415890978616,3.5178405514335735,1.75,0,1.7304852794727215e-32,1.351199374996524e-32,6.727324133031054,3
NGC4111,3,Tail
NGC4203,0,Galaxy,14.793327919241193,3.1502717349950387,1.75,0,1.9339554061406414e-32,1.6603754910505155e-32,5.9887329222804375,3
NGC4203,1,Center,25.55014121139365,3.4304455150205113,1.7372293846832834,0.3615934889386352,1.092415081230594e-33,1.059814623154357e-32,7.164633014045935,5
NGC4203,2,Ring,10.06540292707918,1.9424372820951001,3.6224886855776286,1.0823400383764523,1.9354188076783284e-54,5.626919101807681e-53,10.882761319598472,5
NGC4203,3,Outer Rim
NGC4262,0,Galaxy
NGC4262,1,Center,12.893503394502972,2.162408956933963,1.75,0,1.2718088180905623e-33,7.914736660527619e-34,1.347582447723192,3
NGC4262,2,Ring
NGC2974,0,Galaxy,20.6676352231083,4.77701141646316,1.6903150716231279,0.7923166671172225,3.7965855067547776e-32,8.020388511419206e-31,45.00327294126282,6
NGC2974,1,Center,22.751225839465015,5.616686876125525,2.190101904683352,0.7803694650225669,6.693256503446371e-39,1.4038650984021438e-37,44.911504260959546,6
NGC2974,2,Ring,17.60317350949687,3.86190627915926,1.844207390156293,0.8905808709620642,6.584713977772104e-34,1.5936097334666637e-32,45.447095576576174,6
